Tiktoker name,Subscribers,Views,Likes,Comments,Shares,Month
...anddy_,1100000.0,937100.0,141900.0,7300.0,792.0,9
.02h.88m,1200000.0,917800.0,172600.0,1600.0,2400.0,9
.jmwalton,1200000.0,3400000.0,667000.0,15300.0,5600.0,6
_.anime.edits_0,97000.0,1700000.0,75600.0,1500.0,8700.0,9
_.anime.edits_0,97000.0,1700000.0,75600.0,1500.0,8700.0,6
_.respect.boss._,1500000.0,4400000.0,241900.0,249.0,797.0,6
_.the.meme.hub._,2300000.0,3800000.0,787700.0,2900.0,9000.0,9
_.the.meme.hub._,2300000.0,3800000.0,787700.0,2900.0,9000.0,6
___nicoichi___,1300000.0,1900000.0,225300.0,1700.0,1100.0,6
_amanndaraujo,4300000.0,3500000.0,172600.0,997.0,400.0,9
_andrewcurtiss,2800000.0,2000000.0,341900.0,5500.0,2900.0,9
_andrewcurtiss,2500000.0,1400000.0,300400.0,5800.0,4000.0,6
_emil_official,600900.0,2500000.0,61900.0,1200.0,9500.0,6
_ikyikyyy,3100000.0,1500000.0,185300.0,1500.0,1600.0,6
_jennifernierva,1000000.0,2400000.0,321100.0,1900.0,1000.0,6
_lilg4,1700000.0,4400000.0,521900.0,5500.0,4000.0,9
_liltam,497300.0,2200000.0,281600.0,370.0,623.0,9
_mister_z,4900000.0,2300000.0,407300.0,3200.0,3000.0,6
_nch04,4900000.0,3900000.0,235300.0,1300.0,1200.0,6
_space.draws_,2600000.0,2000000.0,227100.0,1600.0,817.0,6
_subtitulos_,92800.0,3400000.0,432700.0,960.0,690.0,6
_surya_editz_,551200.0,3500000.0,330600.0,1100.0,2100.0,6
_xochitl.gomez,7300000.0,7000000.0,1300000.0,26.0,2900.0,9
_xochitl.gomez,4400000.0,6100000.0,1100000.0,9.0,3400.0,6
_xsyalisx_,144300.0,1800000.0,347500.0,2400.0,2700.0,6
000072mr,341300.0,2000000.0,283200.0,1200.0,2400.0,9
0808sakura,1600000.0,1200000.0,144700.0,2700.0,1500.0,9
1_alkaisr_1,12100000.0,1900000.0,182100.0,690.0,1800.0,9
10july__,1100000.0,1000000.0,123100.0,672.0,4300.0,9
1642l4,15000.0,1300000.0,64200.0,2800.0,13600.0,6
1asos,3500000.0,2500000.0,174300.0,1200.0,1400.0,6
230.s,13600.0,2200000.0,159200.0,1500.0,1300.0,6
42psy42,3900000.0,2500000.0,417800.0,2200.0,1200.0,6
47bato,20600.0,1300000.0,172500.0,1100.0,2100.0,9
4q2y,1500000.0,1700000.0,140200.0,3600.0,1200.0,6
5ifvi,1400000.0,2400000.0,199000.0,410.0,3700.0,9
6666pd,285700.0,924500.0,153300.0,422.0,7900.0,9
6footkillaa,952700.0,1600000.0,257200.0,1800.0,588.0,9
7odzz,4500000.0,2200000.0,162700.0,1600.0,2500.0,9
7uss.n,1500000.0,2200000.0,225500.0,2200.0,2500.0,6
a.l.capone,75900.0,863000.0,34500.0,629.0,21300.0,9
aachoyy,494900.0,2400000.0,356200.0,2400.0,519.0,6
abba,2500000.0,10100000.0,2000000.0,7600.0,8000.0,6
abbieherbert,13800000.0,3700000.0,400700.0,917.0,581.0,9
abbieherbert,13200000.0,4200000.0,557000.0,1400.0,959.0,6
abbycasselberry,1900000.0,1800000.0,348300.0,1000.0,1600.0,9
abdelrhman_boda1,2800000.0,8100000.0,337400.0,1300.0,5100.0,9
abdullah_eltourky,7300000.0,1800000.0,200500.0,824.0,968.0,9
abir.sag,14700000.0,4300000.0,302800.0,2800.0,2300.0,9
abir.sag,12700000.0,3900000.0,302800.0,2100.0,2100.0,6
abo.zizo,4700000.0,3700000.0,225300.0,723.0,1500.0,9
aboody_kareem,7200000.0,1500000.0,167700.0,2600.0,1500.0,6
abopermak,73000.0,2300000.0,69700.0,2600.0,1700.0,9
abosaed49,661400.0,2100000.0,169400.0,3100.0,3900.0,9
abusrwal1996,1400000.0,1700000.0,190600.0,2100.0,1400.0,9
acdc,394200.0,1100000.0,182200.0,879.0,2600.0,9
acpitos,489600.0,5700000.0,858800.0,3500.0,3100.0,9
actressbecc,1400000.0,745200.0,207400.0,1500.0,3700.0,6
actually.average,1200000.0,1100000.0,320900.0,4000.0,3000.0,6
adammilardovicc,8100000.0,2200000.0,184800.0,1600.0,943.0,6
adamsheey,5300000.0,1200000.0,235900.0,845.0,1900.0,9
adamsilvera,93700.0,2200000.0,616300.0,6000.0,4600.0,6
adamw,16900000.0,2400000.0,266300.0,915.0,1800.0,9
addisonre,88700000.0,22000000.0,906600.0,7600.0,26200.0,9
addisonre,88000000.0,7500000.0,704300.0,4300.0,2000.0,6
adi.syahreza,7000000.0,2200000.0,278700.0,1900.0,1800.0,6
adrianbliss,7300000.0,2300000.0,413300.0,1100.0,1700.0,9
adrianbliss,6000000.0,3000000.0,479000.0,1500.0,4800.0,6
adrilatinatv,25600000.0,3100000.0,243400.0,1500.0,190.0,6
ae_ay__99,1500000.0,3200000.0,162000.0,1300.0,3200.0,9
aemilst,1300000.0,1500000.0,224300.0,2000.0,3400.0,6
aerilzafrel8,1900000.0,2300000.0,216800.0,4700.0,1800.0,6
aespa_official,5000000.0,9500000.0,2200000.0,33900.0,29200.0,6
afrae.es,6600000.0,2700000.0,185700.0,594.0,860.0,9
agustinlocutor,1800000.0,1600000.0,100000.0,986.0,4200.0,9
ahmadmahroom99,1300000.0,3300000.0,143500.0,923.0,2300.0,9
ahmedhelmy,7000000.0,2600000.0,184400.0,952.0,1800.0,9
aichangemoy_,8400000.0,2700000.0,250500.0,3200.0,2600.0,6
aidanmrz,1100000.0,2500000.0,157800.0,991.0,512.0,9
aiki_kr,2100000.0,1900000.0,361400.0,1700.0,1300.0,6
ailaughatmyownjokes,1900000.0,1400000.0,340400.0,1400.0,4300.0,6
aileenchristineee,5800000.0,1400000.0,224100.0,681.0,1900.0,9
airiiqtieeee,53100.0,1800000.0,321300.0,2700.0,2600.0,9
aitch12,2000000.0,3500000.0,351400.0,2100.0,2300.0,9
ajkhiphop,36500.0,4600000.0,670600.0,686.0,355.0,9
ajkhiphop,36500.0,4600000.0,670600.0,686.0,355.0,6
akamztwenty20,20400000.0,3800000.0,410500.0,1300.0,1700.0,6
akgunnice,2400000.0,4600000.0,143000.0,1300.0,436.0,6
akramadinas,3900000.0,1600000.0,374600.0,3100.0,1200.0,6
alanthedude,681800.0,3700000.0,636000.0,3500.0,1800.0,9
albert_cancook,8100000.0,2400000.0,265200.0,829.0,624.0,9
albert_cancook,6700000.0,6200000.0,524900.0,1900.0,2100.0,6
albertinasacaca,1500000.0,4000000.0,464400.0,2400.0,787.0,6
albertinasacaca1,6500000.0,2600000.0,241700.0,1600.0,505.0,9
albertinasacaca1,4800000.0,2500000.0,226100.0,2500.0,575.0,6
alejandrodelcarpio96,148600.0,2500000.0,233800.0,1500.0,255.0,6
alex_abt,109000.0,2300000.0,371500.0,592.0,307.0,6
alexandramadison_,1300000.0,971200.0,135000.0,552.0,5200.0,9
alexbatistao,3200.0,951700.0,46600.0,1700.0,19400.0,6
alexitoxedits,2900000.0,1600000.0,467100.0,3900.0,4400.0,9
alexitoxedits,2800000.0,966000.0,276700.0,2500.0,3300.0,6
alexojeda,8100000.0,2600000.0,272600.0,802.0,2200.0,9
alexwaarren,15500000.0,2400000.0,419800.0,992.0,809.0,9
alexwaarren,15300000.0,2700000.0,643700.0,635.0,417.0,6
alezha.obukhov,1300000.0,2600000.0,309200.0,1100.0,851.0,9
alezha.obukhov,681200.0,2200000.0,251100.0,697.0,1200.0,6
alfaanm,101100.0,647200.0,45700.0,1000.0,35700.0,6
ali.samir11,2500000.0,1700000.0,215700.0,6700.0,982.0,6
aliciasaavedra_,353100.0,4900000.0,113800.0,1300.0,25800.0,6
alliep.andrews2nd,31400.0,3100000.0,432600.0,1400.0,750.0,6
alostrich,1000000.0,1100000.0,134300.0,1000.0,5100.0,9
alrslani20,499800.0,2300000.0,100200.0,2100.0,4700.0,6
altarvision,167000.0,1100000.0,268100.0,1100.0,1200.0,9
alteregofanbase7,178700.0,2600000.0,267300.0,560.0,654.0,6
alwanr__,6900000.0,2500000.0,237000.0,630.0,558.0,9
alxjames,2200000.0,896700.0,152800.0,899.0,4800.0,9
alxjames,2100000.0,1700000.0,278500.0,1900.0,9700.0,6
alzoubinadia,5500000.0,1500000.0,75900.0,738.0,6200.0,9
amauryguichon,14500000.0,11400000.0,1500000.0,7200.0,11800.0,9
amauryguichon,11200000.0,17000000.0,1400000.0,10700.0,15200.0,6
amika0429.14,1200000.0,1300000.0,96800.0,3200.0,1500.0,9
amrmaskoun,967000.0,2000000.0,169900.0,2100.0,1800.0,6
amxnahali,63200.0,1000000.0,178200.0,2300.0,1400.0,9
ana_eusse,13300000.0,3000000.0,392200.0,825.0,141.0,9
ana_eusse,11700000.0,2400000.0,343600.0,1000.0,166.0,6
