Tiktoker name,Subscribers,Views,Likes,Comments,Shares,Month
...anddy_,1.1M,937.1K,141.9K,7.3K,792,9
.02h.88m,1.2M,917.8K,172.6K,1.6K,2.4K,9
.jmwalton,1.2M,3.4M,667K,15.3K,5.6K,6
_.anime.edits_0,97K,1.7M,75.6K,1.5K,8.7K,9
_.anime.edits_0,97K,1.7M,75.6K,1.5K,8.7K,6
_.respect.boss._,1.5M,4.4M,241.9K,249,797,6
_.the.meme.hub._,2.3M,3.8M,787.7K,2.9K,9K,9
_.the.meme.hub._,2.3M,3.8M,787.7K,2.9K,9K,6
___nicoichi___,1.3M,1.9M,225.3K,1.7K,1.1K,6
_amanndaraujo,4.3M,3.5M,172.6K,997,400,9
_andrewcurtiss,2.8M,2M,341.9K,5.5K,2.9K,9
_andrewcurtiss,2.5M,1.4M,300.4K,5.8K,4K,6
_emil_official,600.9K,2.5M,61.9K,1.2K,9.5K,6
_ikyikyyy,3.1M,1.5M,185.3K,1.5K,1.6K,6
_jennifernierva,1M,2.4M,321.1K,1.9K,1K,6
_lilg4,1.7M,4.4M,521.9K,5.5K,4K,9
_liltam,497.3K,2.2M,281.6K,370,623,9
_mister_z,4.9M,2.3M,407.3K,3.2K,3K,6
_nch04,4.9M,3.9M,235.3K,1.3K,1.2K,6
_space.draws_,2.6M,2M,227.1K,1.6K,817,6
_subtitulos_,92.8K,3.4M,432.7K,960,690,6
_surya_editz_,551.2K,3.5M,330.6K,1.1K,2.1K,6
_xochitl.gomez,7.3M,7M,1.3M,26,2.9K,9
_xochitl.gomez,4.4M,6.1M,1.1M,9,3.4K,6
_xsyalisx_,144.3K,1.8M,347.5K,2.4K,2.7K,6
000072mr,341.3K,2M,283.2K,1.2K,2.4K,9
0808sakura,1.6M,1.2M,144.7K,2.7K,1.5K,9
1_alkaisr_1,12.1M,1.9M,182.1K,690,1.8K,9
10july__,1.1M,1M,123.1K,672,4.3K,9
1642l4,15K,1.3M,64.2K,2.8K,13.6K,6
1asos,3.5M,2.5M,174.3K,1.2K,1.4K,6
230.s,13.6K,2.2M,159.2K,1.5K,1.3K,6
42psy42,3.9M,2.5M,417.8K,2.2K,1.2K,6
47bato,20.6K,1.3M,172.5K,1.1K,2.1K,9
4q2y,1.5M,1.7M,140.2K,3.6K,1.2K,6
5ifvi,1.4M,2.4M,199K,410,3.7K,9
6666pd,285.7K,924.5K,153.3K,422,7.9K,9
6footkillaa,952.7K,1.6M,257.2K,1.8K,588,9
7odzz,4.5M,2.2M,162.7K,1.6K,2.5K,9
7uss.n,1.5M,2.2M,225.5K,2.2K,2.5K,6
a.l.capone,75.9K,863K,34.5K,629,21.3K,9
aachoyy,494.9K,2.4M,356.2K,2.4K,519,6
abba,2.5M,10.1M,2M,7.6K,8K,6
abbieherbert,13.8M,3.7M,400.7K,917,581,9
abbieherbert,13.2M,4.2M,557K,1.4K,959,6
abbycasselberry,1.9M,1.8M,348.3K,1K,1.6K,9
abdelrhman_boda1,2.8M,8.1M,337.4K,1.3K,5.1K,9
abdullah_eltourky,7.3M,1.8M,200.5K,824,968,9
abir.sag,14.7M,4.3M,302.8K,2.8K,2.3K,9
abir.sag,12.7M,3.9M,302.8K,2.1K,2.1K,6
abo.zizo,4.7M,3.7M,225.3K,723,1.5K,9
