Tiktoker name,Subscribers,Views,Likes,Comments,Shares avg.,Month
...anddy_,1.3M,827.9K,123.7K,3.5K,1.3K,12
_catben_,1.3M,810.7K,99.3K,3.8K,1.1K,11
_cjma,2.9M,2M,408.8K,5.8K,3.1K,12
_mohamed_rhal_,4M,4M,564.8K,1.7K,833,12
_mrs.grey,11M,1.4M,212.1K,784,864,12
0808sakura,10.9M,1.6M,212.5K,665,318,11
1_alkaisr_1,9.2M,1.1M,201.7K,767,817,11
1iamdesibanks,31.8K,1.4M,203.6K,534,1.5K,12
2m.elgany,3M,2.6M,406K,2.7K,2.7K,12
3dshane,654.6K,2.8M,122.9K,1.2K,1.1K,11
6ar6ie6,127.1K,1.4M,357.9K,1.5K,1.2K,11
aaaniiqqq,4.9M,3.4M,179.5K,712,432,12
abbduuu21,1.4M,2.2M,145.2K,1.3K,282,12
abbieherbert,1.7M,1.1M,139.8K,2.1K,1K,11
abi.dihati,12.8M,2M,175.7K,816,1.8K,12
abir.sag,12.5M,1.7M,172.1K,737,1.4K,11
abo.zizo,196.6K,2M,75.4K,1.9K,1.1K,12
abo_qamae,1.7M,1.2M,195.5K,1.3K,5.4K,11
abrahamdpee,1.7M,1.4M,119.1K,2.6K,434,12
abu_julia_official,1.2M,2.6M,144K,1.8K,2.8K,11
actressbecc,376.4K,4M,126.8K,922,3.3K,12
adamalhidayat,432.6K,2.5M,248.8K,1K,2.1K,11
adamcalhoun1,1.8M,2.6M,345.3K,1.5K,871,11
adamrayokay,284.2K,1.8M,205.1K,1.4K,2.1K,11
adamsheey,14.5M,2.3M,174.3K,939,841,12
addisonre,13.7M,2.7M,163.2K,1.1K,1.5K,11
adifishy,14.4M,3.6M,406K,698,301,12
adinross,14.2M,4.3M,459.1K,671,372,11
adrianbliss,4.1M,3.7M,256.4K,378,413,11
adrianozendejas32,18.9M,3.2M,236K,4.2K,1.1K,12
agnesmelo_oficial,16.6M,3.6M,292.5K,2K,1.8K,11
ailaughatmyownjokes,6M,3.5M,174.1K,843,1.3K,12
ailutokman,5.7M,3M,184.2K,665,1K,11
airrack,2.2M,2M,177.6K,1.6K,1.2K,12
ajh.10,2.1M,2M,154.8K,1K,898,11
albert_cancook,4.8M,2.2M,174.8K,1K,1.9K,11
albertinasacaca1,3.3M,2M,123.6K,1K,4.7K,11
aldomirandar,1.8M,1.1M,116.1K,560,2.7K,11
alexailacad_,3.8M,5.7M,472.2K,1.1K,1K,12
alexwaarren,3.1M,2.6M,214K,593,565,11
ali.klose11,2.5M,904.1K,117.9K,3.5K,3K,11
aliciacreti,7.2M,1.8M,216.3K,1.1K,973,12
alpergold,7.1M,3.7M,594.5K,2.4K,3.9K,11
althea420,6.7M,7.3M,1.2M,3.4K,9K,11
alwaystaketwo,17.7M,4.1M,322K,2K,3.8K,12
alwifahry,88.7M,5.3M,304.9K,2.4K,2K,12
alwuhu,88.7M,6.8M,523.2K,2.5K,3.8K,11
amauryguichon,3.4M,10.7M,291K,427,471,11
anaraquelhz,6.1M,21.1M,3.3M,17.5K,25.3K,12
anas_fikry,5.4M,16.6M,2M,10.9K,12.5K,11
anawoycick,4.1M,1.4M,187.7K,1.7K,3.3K,12
andreaaybar1995,7.6M,2.8M,444K,576,1.4K,12
andrefernm,7.6M,2M,332.7K,724,1.3K,11
andy.and.michelle,2.8M,1.4M,156.3K,334,1.9K,11
andyslife247,1.8M,1.9M,214.6K,1.2K,1K,12
angryreactions,1.6M,3M,225.1K,627,2.6K,12
animalize21,6M,3.7M,410.9K,1.1K,1K,12
anna..paull,6M,3.7M,410.9K,1.1K,1K,11
annamcnulty,2M,915.9K,123.8K,827,6.1K,12
anthonnyswagg3,4.1M,564.4K,67.6K,2.3K,12.5K,12
antonyviews,3.9M,845.5K,165.1K,1.4K,1.6K,12
antourny,2.5M,1.4M,254.4K,1.3K,3.8K,12
aprisdevita,2.2M,849.2K,186.5K,842,1.9K,11
areyoukiddingtv,3.7M,1.6M,201.9K,323,3.8K,11
arigameplays,1.3M,3.4M,418.5K,857,252,11
artbydemarcusshawn,1.3M,2.8M,75.7K,998,3.4K,11
artemmodelka,10.2M,2.5M,201.9K,702,415,12
ash.e.e,9.2M,5.3M,441.9K,3K,1.5K,11
ashkaashh,6.7M,3M,228.5K,808,396,11
ashyizzle,8.7M,1.5M,112.9K,341,2K,11
asmrblindbags21,2M,1.5M,353.6K,5.1K,1.6K,12
astarbarbers,5M,1.3M,131.7K,1.3K,2.9K,12
ateez_official_,2.5M,1.6M,191.9K,409,1K,12
atretaequedahonorarios,742.4K,1.5M,97.5K,2.5K,2.9K,12
attahalilintar,2.1M,1.1M,155.4K,1.3K,1.2K,11
augustogimenez,11.5M,2.7M,403.7K,6.5K,1.6K,12
aureliehermansyahatta,15.6M,5.2M,854.6K,1K,902,12
avascreams,15.6M,4.7M,854.5K,893,981,11
avemoves,4.3M,1.7M,105.5K,804,1.6K,12
averycyrus,2.4M,3.4M,357.5K,5.1K,2K,12
axelviewoficial,2.2M,1.8M,213.4K,2.6K,919,11
axelwebber,2.7M,1.5M,181.4K,2.1K,586,12
axxdermusic,714.9K,836.9K,204.3K,3.7K,2.9K,11
ayanakamachi,6.3M,1.8M,202.6K,1.3K,684,12
ayee_shaad,130.2K,3.5M,245.3K,4.1K,3K,12
ayesebastien,2.4M,1.1M,169K,2.4K,464,11
aymanehamedi,676.7K,1M,154.8K,3.4K,2K,12
aymanehamedi,2M,1.4M,109.7K,4.1K,2.1K,12
ayudewi070,2M,1.4M,109.7K,4.1K,2.1K,11
b.blek,3.5M,5.2M,667.4K,2.2K,1.8K,11
babybella777,10.9M,1.9M,242K,2K,1.6K,11
barstoolsports,3.8M,1.1M,184.4K,864,4.5K,11
basementgang,18.4M,16.2M,1.6M,7.8K,21.4K,12
batuffolo75,17.6M,12.4M,2M,5.8K,11.3K,11
bayashi.tiktok,1.5M,9.3M,924.3K,2.3K,3.8K,12
baylenlevine,1.2M,8.4M,490.1K,3.8K,13.3K,12
bdylanhollis,266.5K,1.7M,155.7K,461,1.4K,12
beca,10.6M,1.7M,316.7K,570,635,12
beikmusica,3.4M,1.8M,136K,428,4.2K,12
bek1as,5.7M,6.5M,576.1K,4.3K,34.3K,12
benjaminthebaker,5.4M,3.8M,331.9K,2.7K,9.8K,11
benjikrol,4.6M,3.5M,182.4K,2.3K,1.7K,12
benoit_chevalier,12.4M,2.4M,143.9K,1.1K,1.4K,12
berkcoskunofficial,12.3M,2.7M,183.6K,2.3K,2K,11
bessan_esmail,12.8M,1.3M,121K,1.7K,619,11
bestgodmode,2.6M,5.2M,526.1K,1.3K,709,12
beyonce,3.5M,3.9M,270.3K,1.3K,252,11
big.manny1,15.6M,2.1M,259.7K,586,330,12
bigsean,387.3K,888.5K,111.9K,5.7K,28.3K,12
bigtugg,387.3K,888.5K,111.9K,5.7K,28.3K,11
bilal.hd91,4.7M,1.9M,237.6K,1.1K,5.5K,12
bilalahy,209K,4.4M,390.3K,3.6K,7.8K,12
billlnai,2.8M,1.1M,245.8K,2K,13.4K,12
birisdachapada_off,6.1M,2.7M,328.5K,1K,1.8K,12
bmbsh7,5.6M,2.9M,371.2K,695,2.1K,11
bobbialthoff,622.9K,2.6M,301.2K,1.2K,1.1K,12
bobmenery,2.2M,2.5M,228.7K,1.6K,537,12
bomanizer,2M,1.9M,134.3K,1.1K,675,11
botakteras,10.7M,5.4M,469.8K,2.3K,3.6K,12
bpratamasaputraa,1.2M,1.7M,150.1K,1.1K,760,12
bradley.thor,19.4M,5.5M,143.8K,969,628,12
braxtonnncomerrr,26.7M,1.4M,236.7K,3.2K,449,11
brentrivera,12.8M,4.2M,478K,1.1K,1.1K,11
bretmanrock,5.8M,2.7M,460.4K,1.5K,326,12
briandadeyanara,5.6M,3M,602K,1.8K,590,11
britneyspears,8.1M,2.4M,240.9K,1.3K,793,11
brittbarbie3,1.8M,2.1M,368.1K,1.2K,1K,12
brittikitty,39M,4.1M,406.6K,1.8K,294,12
brodywellmaker,9.6M,2M,165.2K,587,1.1K,11
brookemonk_,10.7M,1.3M,220.5K,549,834,11
brunoliima019,2.6M,4.8M,527.4K,3K,788,12
bruontheradio,2.6M,2.4M,234K,1.1K,442,11
brycehall,2.7M,1.4M,191.7K,1.3K,1.6K,12
btswings7,13.1M,2.3M,310.7K,2.4K,2.3K,12
bu3qeel,12.7M,2.1M,203.7K,665,494,12
burberry,1.1M,1.2M,241.4K,729,1.6K,11
burnaboyofficial,5.7M,4.8M,665.7K,1.4K,385,12
c4tluvr666,5.2M,2.5M,303.3K,388,220,11
calebdigital,88.9K,1.3M,140K,1.3K,6.1K,12
calebrownn,23.6M,2.9M,415.8K,1.6K,897,12
calebwsimpson,23.6M,2.9M,415.8K,1.6K,897,11
calleypoche,5.1M,1.6M,249.6K,969,231,12
camxnie,6.4M,948.1K,158.9K,1.7K,2K,12
caocuongvu,6.3M,978.5K,154.7K,1.8K,1.7K,11
capa_in_visible,1M,2.5M,129.6K,1K,370,12
caprariu_valentino,801.1K,5.1M,299.2K,1.9K,446,11
cardncyn,6.2M,5.1M,294.4K,450,783,12
carenalegria,11.7M,4.6M,523.7K,1.8K,348,11
