Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Month
jypestraykids,13.8M,6.4M,2.3M,50.2K,34.2K,9
khaby.lame,149.2M,17.3M,2.3M,15.2K,8.7K,9
scarlettsspam2,2.1M,17.9M,845.8K,53.9K,6.3K,9
addisonre,88.7M,22M,906.6K,7.6K,26.2K,9
belindatok,4.8M,14.2M,1.5M,14.5K,15.3K,9
onwardwanna,7.5M,12M,2M,20.4K,4.2K,9
therock,55.4M,13.1M,1.5M,14.3K,11.9K,9
bizarrap,5.8M,16.2M,2.7M,4.2K,6.9K,9
landonbarkerr,3.8M,11.7M,1.2M,19.1K,15.2K,9
mrbeast,42.2M,13M,1.7M,17.2K,2.1K,9
charlidamelio,146.2M,15.2M,959.4K,20.8K,4.6K,9
amauryguichon,14.5M,11.4M,1.5M,7.2K,11.8K,9
jetbentlee,3.9M,12.4M,2.2M,3.6K,6.6K,9
kervo.dolo,10.3M,5.7M,1.3M,7.9K,27.6K,9
ttdramanews,856.3K,6.1M,1.1M,16.6K,17.7K,9
mishayoung,4M,10.8M,680K,5.7K,22.5K,9
domelipa,58.1M,10.4M,1.5M,9.1K,3.5K,9
kyliejenner,47M,12.3M,1.9M,5.5K,2.6K,9
enhypen,12.7M,4.3M,1.1M,24.8K,14.3K,9
kimberly.loaiza,67.2M,8.8M,1.2M,12.1K,4.3K,9
ramonvitor,8.7M,9.3M,1.9M,7.3K,2.4K,9
txt.bighitent,18.1M,3.8M,1.1M,27.4K,9.5K,9
emraynea,1.1M,5.1M,1.4M,6.6K,13.5K,9
bp_tiktok,31.2M,4.5M,839.6K,13.9K,22.2K,9
mtarek.official3,1.3M,4.7M,864.2K,21.9K,8K,9
zeth,13M,8.5M,1.7M,2.2K,6.2K,9
kurtsworld,1.3M,4.9M,685.9K,30.1K,3.3K,9
joshtgodfrey,285.5K,6.4M,587.6K,12.8K,16.3K,9
justinflom,6.1M,12.9M,789.2K,4.5K,6.2K,9
williesalim,15.5M,8.1M,589.2K,17.4K,5.4K,9
rosalia,25.5M,14.2M,1.2M,3.3K,2.6K,9
birovr,3M,6.4M,760.9K,6.1K,14.3K,9
kiet.ac.quy,3.3M,5.2M,842.2K,12.3K,8.5K,9
threedotcorey,4.9M,6.3M,1.4M,2.9K,7.1K,9
iamferv,31.5M,6.6M,962.3K,10K,3.9K,9
winnermaxyt,4.5M,13.8M,1M,1.8K,4.5K,9
devankey,8M,6.9M,976.2K,8.6K,3.7K,9
yunggravy,6.6M,9.5M,1.4M,3.5K,2.7K,9
siscakohl,12.4M,9.2M,1.1M,6.2K,1.8K,9
lexibrookerivera,23.2M,7.5M,992.5K,8.5K,1.8K,9
leith1423,1.1M,7.9M,1.3M,3.8K,3.2K,9
imeyhou,3M,9M,799.5K,8K,1.6K,9
b.blek,2.6M,8M,616.7K,6.4K,7.4K,9
mc.pedrinhoofc,5M,8.2M,1.2M,5K,2K,9
jennmelon,2.2M,5.5M,1.4M,3.8K,4.9K,9
nilered,10.3M,6M,1M,4.4K,6.3K,9
zhangxi_acupuntura,2.9M,7M,378.5K,1.5K,22.5K,9
pongamoslo_a_prueba,36.7M,9.3M,1.6M,2.3K,2K,9
itsmacdoogle,1.8M,3.9M,685.9K,10.1K,13K,9
jesusnalgas,2.6M,5M,970.1K,6K,6K,9
notemmamarie,493.9K,4.4M,775.2K,9.1K,6.7K,9
daniel.labelle,27M,5.2M,816.8K,3.8K,8.4K,9
conangray,6.4M,3.9M,1.1M,7K,4.9K,9
spencer_serafica,13.6M,5.2M,924.3K,5.9K,4K,9
musikyotogsj,1.2M,4.3M,192K,1.8K,55.9K,9
