Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Month
___nicoichi___,1.3M,1.9M,225.3K,1.7K,1.1K,6
_.anime.edits_0,97K,1.7M,75.6K,1.5K,8.7K,6
_.respect.boss._,1.5M,4.4M,241.9K,249,797,6
_.the.meme.hub._,2.3M,3.8M,787.7K,2.9K,9K,6
_andrewcurtiss,2.5M,1.4M,300.4K,5.8K,4K,6
_emil_official,600.9K,2.5M,61.9K,1.2K,9.5K,6
_ikyikyyy,3.1M,1.5M,185.3K,1.5K,1.6K,6
_jennifernierva,1M,2.4M,321.1K,1.9K,1K,6
_mister_z,4.9M,2.3M,407.3K,3.2K,3K,6
_nch04,4.9M,3.9M,235.3K,1.3K,1.2K,6
_space.draws_,2.6M,2M,227.1K,1.6K,817,6
_subtitulos_,92.8K,3.4M,432.7K,960,690,6
_surya_editz_,551.2K,3.5M,330.6K,1.1K,2.1K,6
_xochitl.gomez,4.4M,6.1M,1.1M,9,3.4K,6
_xsyalisx_,144.3K,1.8M,347.5K,2.4K,2.7K,6
.jmwalton,1.2M,3.4M,667K,15.3K,5.6K,6
1642l4,15K,1.3M,64.2K,2.8K,13.6K,6
1asos,3.5M,2.5M,174.3K,1.2K,1.4K,6
230.s,13.6K,2.2M,159.2K,1.5K,1.3K,6
42psy42,3.9M,2.5M,417.8K,2.2K,1.2K,6
4q2y,1.5M,1.7M,140.2K,3.6K,1.2K,6
7uss.n,1.5M,2.2M,225.5K,2.2K,2.5K,6
aachoyy,494.9K,2.4M,356.2K,2.4K,519,6
abba,2.5M,10.1M,2M,7.6K,8K,6
abbieherbert,13.2M,4.2M,557K,1.4K,959,6
abir.sag,12.7M,3.9M,302.8K,2.1K,2.1K,6
aboody_kareem,7.2M,1.5M,167.7K,2.6K,1.5K,6
actressbecc,1.4M,745.2K,207.4K,1.5K,3.7K,6
actually.average,1.2M,1.1M,320.9K,4K,3K,6
adammilardovicc,8.1M,2.2M,184.8K,1.6K,943,6
adamsilvera,93.7K,2.2M,616.3K,6K,4.6K,6
addisonre,88M,7.5M,704.3K,4.3K,2K,6
adi.syahreza,7M,2.2M,278.7K,1.9K,1.8K,6
adrianbliss,6M,3M,479K,1.5K,4.8K,6
adrilatinatv,25.6M,3.1M,243.4K,1.5K,190,6
aemilst,1.3M,1.5M,224.3K,2K,3.4K,6
aerilzafrel8,1.9M,2.3M,216.8K,4.7K,1.8K,6
aespa_official,5M,9.5M,2.2M,33.9K,29.2K,6
aichangemoy_,8.4M,2.7M,250.5K,3.2K,2.6K,6
aiki_kr,2.1M,1.9M,361.4K,1.7K,1.3K,6
ailaughatmyownjokes,1.9M,1.4M,340.4K,1.4K,4.3K,6
ajkhiphop,36.5K,4.6M,670.6K,686,355,6
akamztwenty20,20.4M,3.8M,410.5K,1.3K,1.7K,6
akgunnice,2.4M,4.6M,143K,1.3K,436,6
akramadinas,3.9M,1.6M,374.6K,3.1K,1.2K,6
albert_cancook,6.7M,6.2M,524.9K,1.9K,2.1K,6
albertinasacaca,1.5M,4M,464.4K,2.4K,787,6
albertinasacaca1,4.8M,2.5M,226.1K,2.5K,575,6
alejandrodelcarpio96,148.6K,2.5M,233.8K,1.5K,255,6
alex_abt,109K,2.3M,371.5K,592,307,6
alexbatistao,3.2K,951.7K,46.6K,1.7K,19.4K,6
alexitoxedits,2.8M,966K,276.7K,2.5K,3.3K,6
alexwaarren,15.3M,2.7M,643.7K,635,417,6
alezha.obukhov,681.2K,2.2M,251.1K,697,1.2K,6
alfaanm,101.1K,647.2K,45.7K,1K,35.7K,6
ali.samir11,2.5M,1.7M,215.7K,6.7K,982,6
aliciasaavedra_,353.1K,4.9M,113.8K,1.3K,25.8K,6
alliep.andrews2nd,31.4K,3.1M,432.6K,1.4K,750,6
alrslani20,499.8K,2.3M,100.2K,2.1K,4.7K,6
alteregofanbase7,178.7K,2.6M,267.3K,560,654,6
alxjames,2.1M,1.7M,278.5K,1.9K,9.7K,6
amauryguichon,11.2M,17M,1.4M,10.7K,15.2K,6
amrmaskoun,967K,2M,169.9K,2.1K,1.8K,6
ana_eusse,11.7M,2.4M,343.6K,1K,166,6
analisseworld,10.3M,2.3M,418.7K,926,1K,6
anaraquelhz,4M,1.6M,185.9K,1.4K,6.8K,6
anas_elshayib,3.9M,3.1M,182.1K,4.6K,1.9K,6
andcarli,8.1M,7M,236.5K,1.3K,589,6
andremastijan,723.7K,5.2M,360K,2.7K,12.5K,6
andy.and.michelle,4.4M,2.8M,399.9K,1.8K,4.6K,6
anitta,20M,2.4M,256.8K,945,380,6
anna..paull,4.4M,3.1M,731.7K,2.1K,474,6
annajobling,477K,4.1M,482.7K,4.5K,2K,6
annaxsitar,11.9M,3.1M,454.2K,741,424,6
apollolikesblu,3K,702.3K,124.5K,9.5K,2.1K,6
areyoukiddingtv,4.8M,4.1M,648.8K,2.5K,316,6
arfaytb,372.7K,894.1K,108.7K,456,7.6K,6
argentinidadnovelera,91.8K,1.8M,160.5K,953,10.8K,6
arigameplays,21.5M,4.9M,559K,2.7K,2.3K,6
artbydemarcusshawn,6.1M,1.8M,273.8K,2.7K,2.8K,6
ashmonterooo,8.9K,2.6M,437.2K,6.6K,15.4K,6
aubreyandersonemmons,1.1M,1.8M,320.8K,2K,1.8K,6
augustogimenez,12.5M,4.4M,562.8K,1.2K,538,6
aureliehermansyahatta,7.4M,1.9M,190.1K,1.4K,1.3K,6
aurikatariina,7.4M,8.9M,1M,4K,3.7K,6
aussiesdoingthings,2.7M,1.2M,170K,602,3.6K,6
aussiesdoingthings,2.7M,1.2M,170K,602,3.6K,6
austenalexander,321.4K,1.3M,125.7K,1.1K,5.2K,6
avanireyes,5.1M,3.5M,283.6K,1.9K,542,6
awildani13,77.2K,3.7M,498.4K,5.9K,4.4K,6
ayaatanjali_,5.9M,1.6M,303.1K,1.2K,780,6
ayanakamachi,1.4M,3.2M,206.5K,1K,1.8K,6
aybukeyim,1.2M,3.1M,162.7K,2.1K,500,6
aydenmekus,10.5M,3.6M,275.4K,8.6K,1.3K,6
ayesebastien,7.2M,2M,396.5K,2.1K,1.8K,6
aylin.criss,17.3M,2.6M,385.7K,2.1K,355,6
badbunny,22.2M,48.9M,9M,58.4K,96.7K,6
baimwong,8.5M,2.1M,130.6K,2K,1.9K,6
bankkamo46_,1.3M,1.5M,204.7K,1.1K,3K,6
bara_ze,2.5M,1.8M,118.8K,4.3K,2.4K,6
barbaracoura,8.8M,1.5M,239.7K,1.4K,816,6
basementgang,5.4M,2.9M,256.2K,1.9K,2.7K,6
bavariamedic,489.7K,7.1M,553.6K,1.6K,3.4K,6
bayashi.tiktok,28.4M,6.2M,713.1K,3.6K,2K,6
baylenlevine,4.2M,1.2M,190.3K,2.9K,903,6
bdylanhollis,8.6M,3.5M,792.8K,4.1K,10.4K,6
bear,1.2M,2.8M,284.4K,1.1K,371,6
beberexha,7.3M,2M,278K,3.7K,1.8K,6
bebopandbebe,750.4K,3.3M,127.2K,7.6K,354,6
beca,23M,1.7M,219.8K,2.2K,1.5K,6
bellafoodie,4.2M,2.3M,271.8K,709,778,6
bellapoarch,90.2M,6.8M,921.9K,9.5K,1.2K,6
bellaretamosa,5.4M,2.3M,394.3K,1.1K,709,6
ben_brainard,2.6M,1.3M,296.9K,1.2K,1.1K,6
benjikrol,31.1M,1.6M,234.7K,1.8K,348,6
berusahalucu,694K,3.9M,239.8K,954,940,6
bessan_esmail,10.4M,2.5M,175.7K,2.6K,1.3K,6
bhaviboi,279.7K,3.4M,346.9K,677,791,6
bi_131_bi,1.4M,1.1M,232.1K,2K,1.3K,6
bibidong07,5.7K,1.9M,149.8K,6.6K,3.9K,6
biggieclean,4.8M,3.7M,364.5K,1.4K,456,6
bilal.hd91,2.1M,1.5M,175.1K,3.1K,1.2K,6
bilalahy,2M,1.1M,224.5K,1.3K,2.1K,6
billlnai,8.5M,1.7M,403.7K,958,912,6
blacchyna,1.1M,1.7M,174.2K,3.7K,1.1K,6
blacksels,59.1K,620.8K,208.8K,1.8K,5.4K,6
blakeb628,568.4K,1.3M,161.3K,1.1K,10.3K,6
blondebrunetteredhead,12M,14.2M,2.6M,9.8K,7.5K,6
boberrybiscuits2,59.8K,1.5M,309.9K,1.9K,7.5K,6
booboothafoocloset,1.4M,1.2M,314.5K,673,1.3K,6
borhen.kachbouri,204.1K,3.6M,331.2K,926,604,6
botakteras,2.8M,2.4M,207.1K,1.7K,529,6
boywithuke,4.9M,1.7M,209.3K,2.2K,691,6
brandonrogers,1.5M,2.7M,497K,1.7K,4.7K,6
brandonspam_,8M,1.9M,380.2K,2.1K,348,6
brentrivera,43.9M,2.9M,540.2K,2.2K,321,6
bretmanrock,14.2M,3.2M,617.2K,1.7K,1.4K,6
bricks.and.disorder,755.3K,2.5M,448.1K,1.2K,666,6
briggi_bozzo,22M,3.6M,335K,388,571,6
brilionaire,3.9M,4.1M,369.6K,2.1K,7K,6
brittany_broski,7M,1.3M,236.7K,1.2K,1.4K,6
brittikitty,12.6M,3.7M,550.9K,2.1K,2K,6
brodywellmaker,21.1M,6.3M,853K,6.1K,16.4K,6
brookemonk_,20.3M,2.7M,466.9K,2.2K,1.2K,6
brunabarbieoficial,18.4M,2.6M,168.8K,12K,1.9K,6
bstchld,4.4M,2.8M,362.7K,3.1K,5.2K,6
bukanstreet,1M,1.3M,171.5K,2.4K,1.5K,6
burnaboyofficial,972.8K,1.3M,164.5K,1.8K,2.4K,6
c4tluvr666,2.4M,2.7M,558.5K,1.4K,1.5K,6
cakelegend,1.3M,3.5M,900.6K,14.6K,1.1K,6
caleb.green,2.9M,3.1M,256.4K,897,329,6
camimendes,2.6M,6.2M,971.2K,2.8K,777,6
canalzezao,5.9M,1.9M,105K,1.1K,6K,6
caocuongvu,3.7M,3.4M,395.4K,2.2K,797,6
captain.cream,4.2M,2.8M,345.5K,3.2K,4.2K,6
carebearkieran,469.1K,1.6M,354.4K,1.2K,2K,6
carlcunard,3M,5M,158.3K,1.3K,3.1K,6
carloandsarah,3.7M,2.7M,240.6K,886,2.3K,6
carloscastroes,12M,1.6M,152.3K,400,3.1K,6
carloscastroes,12M,1.6M,152.3K,400,3.1K,6
carlosferiag,39.2M,3.3M,251.9K,2.2K,203,6
carolcastromx,11.3M,3.1M,440.7K,1.5K,367,6
carolinarinconf,5.5M,5.9M,654.1K,3.2K,2.9K,6
carolvillanes,5.5M,1.9M,336.4K,6.6K,322,6
cassholland,1.7M,2.4M,390.2K,1.4K,943,6
cavalo.do_rock,154.4K,1.4M,258.5K,7K,17.7K,6
cbum,2.6M,1.6M,215.8K,1.1K,2.7K,6
cciinnn,6.6M,2.6M,296.4K,1.7K,588,6
cdiasss_,2.5M,1.9M,497.4K,2.3K,977,6
cecia.loaiza,6.2M,1.9M,277.7K,2K,388,6
cedriklorenzen,2.5M,3M,301.1K,4.3K,8.1K,6
cellat36,8.5M,1.9M,171.4K,5.4K,1.6K,6
cemresolmaz,10.3M,2.4M,164.3K,6.4K,1.6K,6
cerenyaldz,9.3M,1.1M,97.7K,7.9K,1.5K,6
cerolzera,4.1M,1.7M,180.4K,2.7K,1.3K,6
cesarpantoja.n,13.2M,3M,489.1K,1.3K,311,6
cha.momilie,1.2M,2M,282.1K,2K,1.1K,6
championsleague,14.9M,3.8M,551.9K,3.4K,2.3K,6
chamrent,2.1M,3.7M,370.9K,1.7K,1.3K,6
chanelterrero,404.7K,2.3M,257K,1.5K,387,6
chang._.a,22M,1.4M,286.2K,3.6K,1.9K,6
charlidamelio,142M,16.4M,1.8M,27.3K,9.5K,6
charlieputh,17.2M,1.9M,234.6K,2.6K,772,6
charlymarieofc,966K,1.3M,103.1K,1.5K,5.4K,6
charlyokei,4.1M,3.6M,343.5K,824,1.1K,6
chedurena,6.8M,2M,231.5K,1.7K,6.8K,6
cheekykiddo,4.1M,2.2M,231.8K,489,1.6K,6
chicken_nugget_.0,862.7K,1.6M,240.6K,1.9K,2.8K,6
chiefilomeno,2.8M,2.4M,179.1K,1.5K,596,6
chikakiku,8.5M,3.3M,247.1K,2.1K,679,6
chimeconem.official,637.6K,3.9M,247K,599,442,6
choega,5.5M,2.1M,348.2K,4.1K,2K,6
chourouk.model_official,4.8M,3.4M,147.2K,851,2.4K,6
chris,7.7M,2.1M,353.3K,897,895,6
chrisbrownofficial,6.2M,2.2M,306.6K,3.6K,3.6K,6
chrisdelia,2M,1.1M,163.2K,1.1K,3.1K,6
cicichania96,2.7M,2.7M,188.1K,2.3K,1.6K,6
cizimmektebi,338.1K,6.1M,239.6K,3.3K,6.8K,6
claragnds,17.1M,1.8M,219.2K,2.4K,1.2K,6
clerishwijaya,494.2K,1.8M,129.9K,2.6K,3.6K,6
clubgodzilla,195.2K,3.1M,618.6K,4.6K,1.7K,6
cocielo,4.6M,3.6M,438.2K,601,613,6
codsterss,58K,13M,951.6K,13.2K,136K,6
com.yamato0515,1.8M,2.3M,213.7K,2.8K,1.5K,6
